movieId,RUNTIME (MINUTES),RUNTIME (SECONDS), NUMBER OF CHUNKS,VIDEO SIZE FOR 360p (GB),VIDEO SIZE FOR 480p (GB),VIDEO SIZE FOR 720p (GB),VIDEO SIZE FOR 1080p (GB)
113,108,6480,1620,1.215,3.24,6.075,9.72
116,117,7020,1755,1.31625,3.51,6.58125,10.53
117,99,5940,1485,1.11375,2.97,5.56875,8.91
118,92,5520,1380,1.035,2.76,5.175,8.28
119,113,6780,1695,1.27125,3.39,6.35625,10.17
121,93,5580,1395,1.04625,2.79,5.23125,8.37
122,117,7020,1755,1.31625,3.51,6.58125,10.53
123,103,6180,1545,1.15875,3.09,5.79375,9.27
125,92,5520,1380,1.035,2.76,5.175,8.28
126,95,5700,1425,1.06875,2.85,5.34375,8.55
128,87,5220,1305,0.97875,2.61,4.89375,7.83
129,95,5700,1425,1.06875,2.85,5.34375,8.55
132,95,5700,1425,1.06875,2.85,5.34375,8.55
135,92,5520,1380,1.035,2.76,5.175,8.28
137,86,5160,1290,0.9675,2.58,4.8375,7.74
140,119,7140,1785,1.33875,3.57,6.69375,10.71
141,117,7020,1755,1.31625,3.51,6.58125,10.53
144,98,5880,1470,1.1025,2.94,5.5125,8.82
145,119,7140,1785,1.33875,3.57,6.69375,10.71
146,84,5040,1260,0.945,2.52,4.725,7.56
147,102,6120,1530,1.1475,3.06,5.7375,9.18
148,113,6780,1695,1.27125,3.39,6.35625,10.17
149,105,6300,1575,1.18125,3.15,5.90625,9.45
152,82,4920,1230,0.9225,2.46,4.6125,7.38
154,101,6060,1515,1.13625,3.03,5.68125,9.09
155,100,6000,1500,1.125,3,5.625,9
156,83,4980,1245,0.93375,2.49,4.66875,7.47
157,91,5460,1365,1.02375,2.73,5.11875,8.19
158,100,6000,1500,1.125,3,5.625,9
160,109,6540,1635,1.22625,3.27,6.13125,9.81
161,116,6960,1740,1.305,3.48,6.525,10.44
162,119,7140,1785,1.33875,3.57,6.69375,10.71
163,104,6240,1560,1.17,3.12,5.85,9.36
164,102,6120,1530,1.1475,3.06,5.7375,9.18
166,80,4800,1200,0.9,2.4,4.5,7.2
169,95,5700,1425,1.06875,2.85,5.34375,8.55
170,107,6420,1605,1.20375,3.21,6.01875,9.63
171,92,5520,1380,1.035,2.76,5.175,8.28
172,97,5820,1455,1.09125,2.91,5.45625,8.73
173,96,5760,1440,1.08,2.88,5.4,8.64
174,88,5280,1320,0.99,2.64,4.95,7.92
175,91,5460,1365,1.02375,2.73,5.11875,8.19
176,89,5340,1335,1.00125,2.67,5.00625,8.01
177,119,7140,1785,1.33875,3.57,6.69375,10.71
178,100,6000,1500,1.125,3,5.625,9
179,95,5700,1425,1.06875,2.85,5.34375,8.55
180,94,5640,1410,1.0575,2.82,5.2875,8.46
181,92,5520,1380,1.035,2.76,5.175,8.28
183,95,5700,1425,1.06875,2.85,5.34375,8.55
184,93,5580,1395,1.04625,2.79,5.23125,8.37
185,114,6840,1710,1.2825,3.42,6.4125,10.26
186,103,6180,1545,1.15875,3.09,5.79375,9.27
187,94,5640,1410,1.0575,2.82,5.2875,8.46
188,98,5880,1470,1.1025,2.94,5.5125,8.82
189,91,5460,1365,1.02375,2.73,5.11875,8.19
190,119,7140,1785,1.33875,3.57,6.69375,10.71
194,112,6720,1680,1.26,3.36,6.3,10.08
195,106,6360,1590,1.1925,3.18,5.9625,9.54
196,108,6480,1620,1.215,3.24,6.075,9.72
199,91,5460,1365,1.02375,2.73,5.11875,8.19
201,115,6900,1725,1.29375,3.45,6.46875,10.35
202,111,6660,1665,1.24875,3.33,6.24375,9.99
203,105,6300,1575,1.18125,3.15,5.90625,9.45
204,100,6000,1500,1.125,3,5.625,9
205,93,5580,1395,1.04625,2.79,5.23125,8.37
206,73,4380,1095,0.82125,2.19,4.10625,6.57
207,103,6180,1545,1.15875,3.09,5.79375,9.27
209,89,5340,1335,1.00125,2.67,5.00625,8.01
210,98,5880,1470,1.1025,2.94,5.5125,8.82
211,97,5820,1455,1.09125,2.91,5.45625,8.73
212,90,5400,1350,1.0125,2.7,5.0625,8.1
214,113,6780,1695,1.27125,3.39,6.35625,10.17
215,101,6060,1515,1.13625,3.03,5.68125,9.09
216,89,5340,1335,1.00125,2.67,5.00625,8.01
217,90,5400,1350,1.0125,2.7,5.0625,8.1
218,115,6900,1725,1.29375,3.45,6.46875,10.35
219,97,5820,1455,1.09125,2.91,5.45625,8.73
220,95,5700,1425,1.06875,2.85,5.34375,8.55
222,103,6180,1545,1.15875,3.09,5.79375,9.27
223,92,5520,1380,1.035,2.76,5.175,8.28
224,97,5820,1455,1.09125,2.91,5.45625,8.73
227,101,6060,1515,1.13625,3.03,5.68125,9.09
228,102,6120,1530,1.1475,3.06,5.7375,9.18
229,103,6180,1545,1.15875,3.09,5.79375,9.27
231,107,6420,1605,1.20375,3.21,6.01875,9.63
233,104,6240,1560,1.17,3.12,5.85,9.36
234,113,6780,1695,1.27125,3.39,6.35625,10.17
236,111,6660,1665,1.24875,3.33,6.24375,9.99
237,101,6060,1515,1.13625,3.03,5.68125,9.09
238,87,5220,1305,0.97875,2.61,4.89375,7.83
239,78,4680,1170,0.8775,2.34,4.3875,7.02
240,103,6180,1545,1.15875,3.09,5.79375,9.27
241,96,5760,1440,1.08,2.88,5.4,8.64
242,111,6660,1665,1.24875,3.33,6.24375,9.99
243,90,5400,1350,1.0125,2.7,5.0625,8.1
247,109,6540,1635,1.22625,3.27,6.13125,9.81
248,113,6780,1695,1.27125,3.39,6.35625,10.17
250,100,6000,1500,1.125,3,5.625,9
251,110,6600,1650,1.2375,3.3,6.1875,9.9
252,100,6000,1500,1.125,3,5.625,9
255,82,4920,1230,0.9225,2.46,4.6125,7.38
256,109,6540,1635,1.22625,3.27,6.13125,9.81
257,102,6120,1530,1.1475,3.06,5.7375,9.18
258,89,5340,1335,1.00125,2.67,5.00625,8.01
259,101,6060,1515,1.13625,3.03,5.68125,9.09
261,115,6900,1725,1.29375,3.45,6.46875,10.35
262,97,5820,1455,1.09125,2.91,5.45625,8.73
263,101,6060,1515,1.13625,3.03,5.68125,9.09
265,105,6300,1575,1.18125,3.15,5.90625,9.45
267,95,5700,1425,1.06875,2.85,5.34375,8.55
269,92,5520,1380,1.035,2.76,5.175,8.28
270,108,6480,1620,1.215,3.24,6.075,9.72
271,106,6360,1590,1.1925,3.18,5.9625,9.54
272,107,6420,1605,1.20375,3.21,6.01875,9.63
274,96,5760,1440,1.08,2.88,5.4,8.64
275,97,5820,1455,1.09125,2.91,5.45625,8.73
276,108,6480,1620,1.215,3.24,6.075,9.72
277,114,6840,1710,1.2825,3.42,6.4125,10.26
278,95,5700,1425,1.06875,2.85,5.34375,8.55
281,110,6600,1650,1.2375,3.3,6.1875,9.9
282,112,6720,1680,1.26,3.36,6.3,10.08
283,98,5880,1470,1.1025,2.94,5.5125,8.82
284,93,5580,1395,1.04625,2.79,5.23125,8.37
285,89,5340,1335,1.00125,2.67,5.00625,8.01
287,100,6000,1500,1.125,3,5.625,9
288,118,7080,1770,1.3275,3.54,6.6375,10.62
289,115,6900,1725,1.29375,3.45,6.46875,10.35
290,99,5940,1485,1.11375,2.97,5.56875,8.91
291,106,6360,1590,1.1925,3.18,5.9625,9.54
293,111,6660,1665,1.24875,3.33,6.24375,9.99
294,113,6780,1695,1.27125,3.39,6.35625,10.17
295,94,5640,1410,1.0575,2.82,5.2875,8.46
298,105,6300,1575,1.18125,3.15,5.90625,9.45
299,98,5880,1470,1.1025,2.94,5.5125,8.82
301,94,5640,1410,1.0575,2.82,5.2875,8.46
303,107,6420,1605,1.20375,3.21,6.01875,9.63
304,108,6480,1620,1.215,3.24,6.075,9.72
306,100,6000,1500,1.125,3,5.625,9
307,98,5880,1470,1.1025,2.94,5.5125,8.82
308,92,5520,1380,1.035,2.76,5.175,8.28
310,85,5100,1275,0.95625,2.55,4.78125,7.65
311,90,5400,1350,1.0125,2.7,5.0625,8.1
312,95,5700,1425,1.06875,2.85,5.34375,8.55
313,89,5340,1335,1.00125,2.67,5.00625,8.01
314,103,6180,1545,1.15875,3.09,5.79375,9.27
315,110,6600,1650,1.2375,3.3,6.1875,9.9
317,97,5820,1455,1.09125,2.91,5.45625,8.73
319,89,5340,1335,1.00125,2.67,5.00625,8.01
320,96,5760,1440,1.08,2.88,5.4,8.64
321,108,6480,1620,1.215,3.24,6.075,9.72
322,101,6060,1515,1.13625,3.03,5.68125,9.09
324,100,6000,1500,1.125,3,5.625,9
325,91,5460,1365,1.02375,2.73,5.11875,8.19
327,98,5880,1470,1.1025,2.94,5.5125,8.82
328,92,5520,1380,1.035,2.76,5.175,8.28
329,118,7080,1770,1.3275,3.54,6.6375,10.62
330,98,5880,1470,1.1025,2.94,5.5125,8.82
331,115,6900,1725,1.29375,3.45,6.46875,10.35
332,99,5940,1485,1.11375,2.97,5.56875,8.91
333,98,5880,1470,1.1025,2.94,5.5125,8.82
334,119,7140,1785,1.33875,3.57,6.69375,10.71
335,99,5940,1485,1.11375,2.97,5.56875,8.91
336,88,5280,1320,0.99,2.64,4.95,7.92
337,118,7080,1770,1.3275,3.54,6.6375,10.62
338,106,6360,1590,1.1925,3.18,5.9625,9.54
339,103,6180,1545,1.15875,3.09,5.79375,9.27
341,87,5220,1305,0.97875,2.61,4.89375,7.83
342,106,6360,1590,1.1925,3.18,5.9625,9.54
343,94,5640,1410,1.0575,2.82,5.2875,8.46
344,86,5160,1290,0.9675,2.58,4.8375,7.74
345,104,6240,1560,1.17,3.12,5.85,9.36
346,100,6000,1500,1.125,3,5.625,9
348,98,5880,1470,1.1025,2.94,5.5125,8.82
350,119,7140,1785,1.33875,3.57,6.69375,10.71
351,115,6900,1725,1.29375,3.45,6.46875,10.35
352,115,6900,1725,1.29375,3.45,6.46875,10.35
353,102,6120,1530,1.1475,3.06,5.7375,9.18
355,91,5460,1365,1.02375,2.73,5.11875,8.19
357,117,7020,1755,1.31625,3.51,6.58125,10.53
359,104,6240,1560,1.17,3.12,5.85,9.36
361,101,6060,1515,1.13625,3.03,5.68125,9.09
362,111,6660,1665,1.24875,3.33,6.24375,9.99
364,89,5340,1335,1.00125,2.67,5.00625,8.01
366,112,6720,1680,1.26,3.36,6.3,10.08
367,101,6060,1515,1.13625,3.03,5.68125,9.09
370,83,4980,1245,0.93375,2.49,4.66875,7.47
371,112,6720,1680,1.26,3.36,6.3,10.08
372,99,5940,1485,1.11375,2.97,5.56875,8.91
373,98,5880,1470,1.1025,2.94,5.5125,8.82
374,95,5700,1425,1.06875,2.85,5.34375,8.55
376,111,6660,1665,1.24875,3.33,6.24375,9.99
377,116,6960,1740,1.305,3.48,6.525,10.44
378,99,5940,1485,1.11375,2.97,5.56875,8.91
379,99,5940,1485,1.11375,2.97,5.56875,8.91
384,108,6480,1620,1.215,3.24,6.075,9.72
385,99,5940,1485,1.11375,2.97,5.56875,8.91
386,96,5760,1440,1.08,2.88,5.4,8.64
387,100,6000,1500,1.125,3,5.625,9
388,91,5460,1365,1.02375,2.73,5.11875,8.19
389,110,6600,1650,1.2375,3.3,6.1875,9.9
390,84,5040,1260,0.945,2.52,4.725,7.56
391,119,7140,1785,1.33875,3.57,6.69375,10.71
393,102,6120,1530,1.1475,3.06,5.7375,9.18
405,99,5940,1485,1.11375,2.97,5.56875,8.91
406,97,5820,1455,1.09125,2.91,5.45625,8.73
407,95,5700,1425,1.06875,2.85,5.34375,8.55
408,105,6300,1575,1.18125,3.15,5.90625,9.45
409,96,5760,1440,1.08,2.88,5.4,8.64
410,94,5640,1410,1.0575,2.82,5.2875,8.46
413,92,5520,1380,1.035,2.76,5.175,8.28
414,107,6420,1605,1.20375,3.21,6.01875,9.63
415,105,6300,1575,1.18125,3.15,5.90625,9.45
416,99,5940,1485,1.11375,2.97,5.56875,8.91
417,100,6000,1500,1.125,3,5.625,9
419,93,5580,1395,1.04625,2.79,5.23125,8.37
420,105,6300,1575,1.18125,3.15,5.90625,9.45
421,88,5280,1320,0.99,2.64,4.95,7.92
422,106,6360,1590,1.1925,3.18,5.9625,9.54
424,108,6480,1620,1.215,3.24,6.075,9.72
425,101,6060,1515,1.13625,3.03,5.68125,9.09
426,87,5220,1305,0.97875,2.61,4.89375,7.83
427,107,6420,1605,1.20375,3.21,6.01875,9.63
429,80,4800,1200,0.9,2.4,4.5,7.2
430,90,5400,1350,1.0125,2.7,5.0625,8.1
432,116,6960,1740,1.305,3.48,6.525,10.44
433,107,6420,1605,1.20375,3.21,6.01875,9.63
434,112,6720,1680,1.26,3.36,6.3,10.08
435,87,5220,1305,0.97875,2.61,4.89375,7.83
437,93,5580,1395,1.04625,2.79,5.23125,8.37
438,102,6120,1530,1.1475,3.06,5.7375,9.18
440,110,6600,1650,1.2375,3.3,6.1875,9.9
441,102,6120,1530,1.1475,3.06,5.7375,9.18
442,115,6900,1725,1.29375,3.45,6.46875,10.35
444,96,5760,1440,1.08,2.88,5.4,8.64
445,91,5460,1365,1.02375,2.73,5.11875,8.19
449,88,5280,1320,0.99,2.64,4.95,7.92
450,103,6180,1545,1.15875,3.09,5.79375,9.27
452,101,6060,1515,1.13625,3.03,5.68125,9.09
453,94,5640,1410,1.0575,2.82,5.2875,8.46
455,112,6720,1680,1.26,3.36,6.3,10.08
456,114,6840,1710,1.2825,3.42,6.4125,10.26
458,115,6900,1725,1.29375,3.45,6.46875,10.35
459,115,6900,1725,1.29375,3.45,6.46875,10.35
460,109,6540,1635,1.22625,3.27,6.13125,9.81
461,83,4980,1245,0.93375,2.49,4.66875,7.47
464,97,5820,1455,1.09125,2.91,5.45625,8.73
466,86,5160,1290,0.9675,2.58,4.8375,7.74
467,95,5700,1425,1.06875,2.85,5.34375,8.55
468,91,5460,1365,1.02375,2.73,5.11875,8.19
470,100,6000,1500,1.125,3,5.625,9
471,111,6660,1665,1.24875,3.33,6.24375,9.99
472,115,6900,1725,1.29375,3.45,6.46875,10.35
473,91,5460,1365,1.02375,2.73,5.11875,8.19
476,110,6600,1650,1.2375,3.3,6.1875,9.9
477,118,7080,1770,1.3275,3.54,6.6375,10.62
478,112,6720,1680,1.26,3.36,6.3,10.08
479,110,6600,1650,1.2375,3.3,6.1875,9.9
481,117,7020,1755,1.31625,3.51,6.58125,10.53
482,96,5760,1440,1.08,2.88,5.4,8.64
484,94,5640,1410,1.0575,2.82,5.2875,8.46
486,91,5460,1365,1.02375,2.73,5.11875,8.19
487,98,5880,1470,1.1025,2.94,5.5125,8.82
488,101,6060,1515,1.13625,3.03,5.68125,9.09
489,111,6660,1665,1.24875,3.33,6.24375,9.99
490,107,6420,1605,1.20375,3.21,6.01875,9.63
491,115,6900,1725,1.29375,3.45,6.46875,10.35
492,104,6240,1560,1.17,3.12,5.85,9.36
493,97,5820,1455,1.09125,2.91,5.45625,8.73
495,105,6300,1575,1.18125,3.15,5.90625,9.45
496,91,5460,1365,1.02375,2.73,5.11875,8.19
497,111,6660,1665,1.24875,3.33,6.24375,9.99
499,98,5880,1470,1.1025,2.94,5.5125,8.82
502,107,6420,1605,1.20375,3.21,6.01875,9.63
504,118,7080,1770,1.3275,3.54,6.6375,10.62
505,87,5220,1305,0.97875,2.61,4.89375,7.83
506,90,5400,1350,1.0125,2.7,5.0625,8.1
509,116,6960,1740,1.305,3.48,6.525,10.44
510,109,6540,1635,1.22625,3.27,6.13125,9.81
511,112,6720,1680,1.26,3.36,6.3,10.08
512,109,6540,1635,1.22625,3.27,6.13125,9.81
513,108,6480,1620,1.215,3.24,6.075,9.72
514,97,5820,1455,1.09125,2.91,5.45625,8.73
518,118,7080,1770,1.3275,3.54,6.6375,10.62
519,104,6240,1560,1.17,3.12,5.85,9.36
520,104,6240,1560,1.17,3.12,5.85,9.36
521,100,6000,1500,1.125,3,5.625,9
522,94,5640,1410,1.0575,2.82,5.2875,8.46
523,114,6840,1710,1.2825,3.42,6.4125,10.26
524,114,6840,1710,1.2825,3.42,6.4125,10.26
528,101,6060,1515,1.13625,3.03,5.68125,9.09
529,110,6600,1650,1.2375,3.3,6.1875,9.9
531,102,6120,1530,1.1475,3.06,5.7375,9.18
532,94,5640,1410,1.0575,2.82,5.2875,8.46
533,108,6480,1620,1.215,3.24,6.075,9.72
536,106,6360,1590,1.1925,3.18,5.9625,9.54
537,98,5880,1470,1.1025,2.94,5.5125,8.82
538,112,6720,1680,1.26,3.36,6.3,10.08
539,105,6300,1575,1.18125,3.15,5.90625,9.45
540,108,6480,1620,1.215,3.24,6.075,9.72
541,117,7020,1755,1.31625,3.51,6.58125,10.53
542,95,5700,1425,1.06875,2.85,5.34375,8.55
543,93,5580,1395,1.04625,2.79,5.23125,8.37
544,102,6120,1530,1.1475,3.06,5.7375,9.18
546,104,6240,1560,1.17,3.12,5.85,9.36
547,96,5760,1440,1.08,2.88,5.4,8.64
548,102,6120,1530,1.1475,3.06,5.7375,9.18
549,93,5580,1395,1.04625,2.79,5.23125,8.37
550,93,5580,1395,1.04625,2.79,5.23125,8.37
551,76,4560,1140,0.855,2.28,4.275,6.84
552,105,6300,1575,1.18125,3.15,5.90625,9.45
555,120,7200,1800,1.35,3.6,6.75,10.8
556,96,5760,1440,1.08,2.88,5.4,8.64
558,80,4800,1200,0.9,2.4,4.5,7.2
562,88,5280,1320,0.99,2.64,4.95,7.92
564,102,6120,1530,1.1475,3.06,5.7375,9.18
567,117,7020,1755,1.31625,3.51,6.58125,10.53
568,100,6000,1500,1.125,3,5.625,9
569,119,7140,1785,1.33875,3.57,6.69375,10.71
573,100,6000,1500,1.125,3,5.625,9
574,106,6360,1590,1.1925,3.18,5.9625,9.54
575,82,4920,1230,0.9225,2.46,4.6125,7.38
577,94,5640,1410,1.0575,2.82,5.2875,8.46
579,92,5520,1380,1.035,2.76,5.175,8.28
580,97,5820,1455,1.09125,2.91,5.45625,8.73
581,102,6120,1530,1.1475,3.06,5.7375,9.18
583,100,6000,1500,1.125,3,5.625,9
585,84,5040,1260,0.945,2.52,4.725,7.56
586,103,6180,1545,1.15875,3.09,5.79375,9.27
588,90,5400,1350,1.0125,2.7,5.0625,8.1
593,119,7140,1785,1.33875,3.57,6.69375,10.71
594,83,4980,1245,0.93375,2.49,4.66875,7.47
595,84,5040,1260,0.945,2.52,4.725,7.56
596,88,5280,1320,0.99,2.64,4.95,7.92
597,119,7140,1785,1.33875,3.57,6.69375,10.71
600,101,6060,1515,1.13625,3.03,5.68125,9.09
602,60,3600,900,0.675,1.8,3.375,5.4
605,108,6480,1620,1.215,3.24,6.075,9.72
606,93,5580,1395,1.04625,2.79,5.23125,8.37
608,98,5880,1470,1.1025,2.94,5.5125,8.82
609,89,5340,1335,1.00125,2.67,5.00625,8.01
610,90,5400,1350,1.0125,2.7,5.0625,8.1
611,86,5160,1290,0.9675,2.58,4.8375,7.74
612,97,5820,1455,1.09125,2.91,5.45625,8.73
613,112,6720,1680,1.26,3.36,6.3,10.08
615,110,6600,1650,1.2375,3.3,6.1875,9.9
616,78,4680,1170,0.8775,2.34,4.3875,7.02
617,103,6180,1545,1.15875,3.09,5.79375,9.27
618,118,7080,1770,1.3275,3.54,6.6375,10.62
619,94,5640,1410,1.0575,2.82,5.2875,8.46
626,108,6480,1620,1.215,3.24,6.075,9.72
627,92,5520,1380,1.035,2.76,5.175,8.28
631,82,4920,1230,0.9225,2.46,4.6125,7.38
632,109,6540,1635,1.22625,3.27,6.13125,9.81
633,80,4800,1200,0.9,2.4,4.5,7.2
634,92,5520,1380,1.035,2.76,5.175,8.28
635,109,6540,1635,1.22625,3.27,6.13125,9.81
636,88,5280,1320,0.99,2.64,4.95,7.92
637,90,5400,1350,1.0125,2.7,5.0625,8.1
638,110,6600,1650,1.2375,3.3,6.1875,9.9
639,108,6480,1620,1.215,3.24,6.075,9.72
640,107,6420,1605,1.20375,3.21,6.01875,9.63
645,106,6360,1590,1.1925,3.18,5.9625,9.54
647,116,6960,1740,1.305,3.48,6.525,10.44
648,110,6600,1650,1.2375,3.3,6.1875,9.9
649,85,5100,1275,0.95625,2.55,4.78125,7.65
653,103,6180,1545,1.15875,3.09,5.79375,9.27
656,100,6000,1500,1.125,3,5.625,9
661,79,4740,1185,0.88875,2.37,4.44375,7.11
662,97,5820,1455,1.09125,2.91,5.45625,8.73
663,89,5340,1335,1.00125,2.67,5.00625,8.01
667,90,5400,1350,1.0125,2.7,5.0625,8.1
670,105,6300,1575,1.18125,3.15,5.90625,9.45
671,73,4380,1095,0.82125,2.19,4.10625,6.57
673,88,5280,1320,0.99,2.64,4.95,7.92
674,98,5880,1470,1.1025,2.94,5.5125,8.82
678,25,1500,375,0.28125,0.75,1.40625,2.25
680,100,6000,1500,1.125,3,5.625,9
685,110,6600,1650,1.2375,3.3,6.1875,9.9
688,107,6420,1605,1.20375,3.21,6.01875,9.63
691,105,6300,1575,1.18125,3.15,5.90625,9.45
692,94,5640,1410,1.0575,2.82,5.2875,8.46
694,114,6840,1710,1.2825,3.42,6.4125,10.26
695,94,5640,1410,1.0575,2.82,5.2875,8.46
697,99,5940,1485,1.11375,2.97,5.56875,8.91
698,99,5940,1485,1.11375,2.97,5.56875,8.91
700,90,5400,1350,1.0125,2.7,5.0625,8.1
703,86,5160,1290,0.9675,2.58,4.8375,7.74
704,95,5700,1425,1.06875,2.85,5.34375,8.55
706,99,5940,1485,1.11375,2.97,5.56875,8.91
707,107,6420,1605,1.20375,3.21,6.01875,9.63
708,93,5580,1395,1.04625,2.79,5.23125,8.37
709,77,4620,1155,0.86625,2.31,4.33125,6.93
710,91,5460,1365,1.02375,2.73,5.11875,8.19
711,95,5700,1425,1.06875,2.85,5.34375,8.55
718,107,6420,1605,1.20375,3.21,6.01875,9.63
719,117,7020,1755,1.31625,3.51,6.58125,10.53
720,75,4500,1125,0.84375,2.25,4.21875,6.75
722,112,6720,1680,1.26,3.36,6.3,10.08
724,101,6060,1515,1.13625,3.03,5.68125,9.09
725,91,5460,1365,1.02375,2.73,5.11875,8.19
726,103,6180,1545,1.15875,3.09,5.79375,9.27
728,95,5700,1425,1.06875,2.85,5.34375,8.55
735,105,6300,1575,1.18125,3.15,5.90625,9.45
736,113,6780,1695,1.27125,3.39,6.35625,10.17
737,98,5880,1470,1.1025,2.94,5.5125,8.82
741,83,4980,1245,0.93375,2.49,4.66875,7.47
742,92,5520,1380,1.035,2.76,5.175,8.28
743,81,4860,1215,0.91125,2.43,4.55625,7.29
745,30,1800,450,0.3375,0.9,1.6875,2.7
747,94,5640,1410,1.0575,2.82,5.2875,8.46
748,115,6900,1725,1.29375,3.45,6.46875,10.35
750,95,5700,1425,1.06875,2.85,5.34375,8.55
757,100,6000,1500,1.125,3,5.625,9
759,105,6300,1575,1.18125,3.15,5.90625,9.45
761,100,6000,1500,1.125,3,5.625,9
762,115,6900,1725,1.29375,3.45,6.46875,10.35
764,105,6300,1575,1.18125,3.15,5.90625,9.45
765,113,6780,1695,1.27125,3.39,6.35625,10.17
766,103,6180,1545,1.15875,3.09,5.79375,9.27
773,91,5460,1365,1.02375,2.73,5.11875,8.19
778,94,5640,1410,1.0575,2.82,5.2875,8.46
779,113,6780,1695,1.27125,3.39,6.35625,10.17
781,116,6960,1740,1.305,3.48,6.525,10.44
